nombre,foto,pelis
Jason Statham,https://media.themoviedb.org/t/p/w235_and_h235_face/lldeQ91GwIVff43JBrpdbAAeYWj.jpg,"Megalodón, Transporter y Fast & Furious 8"
Emma Stone,https://media.themoviedb.org/t/p/w235_and_h235_face/cZ8a3QvAnj2cgcgVL6g4XaqPzpL.jpg,"Cruella, The Amazing Spider-Man y La Ciudad De Las Estrellas (La La Land)"
Florence Pugh,https://media.themoviedb.org/t/p/w235_and_h235_face/f8e41Oon18FiEZr4zgyJDVUqOeh.jpg,"Midsommar, Viuda negra y Mujercitas"
Sydney Sweeney,https://media.themoviedb.org/t/p/w235_and_h235_face/qYiaSl0Eb7G3VaxOg8PxExCFwon.jpg,"Euphoria, Cualquiera menos tú y Los Voyeurs"
Guy Ritchie,https://media.themoviedb.org/t/p/w235_and_h235_face/9pLUnjMgIEWXi0mlHYzie9cKUTD.jpg,"Sherlock Holmes, Sherlock Holmes: Juego de sombras y Aladdín"
Rebecca Ferguson,https://media.themoviedb.org/t/p/w235_and_h235_face/lJloTOheuQSirSLXNA3JHsrMNfH.jpg,"Dune, La chica del tren y Life (Vida)"
Jeremy Piven,https://media.themoviedb.org/t/p/w235_and_h235_face/pqdR8zqAWF87chGYlbdYr0YfC7g.jpg,"Cars, Serendipity y Peligrosamente infiltrada"
Millie Bobby Brown,https://media.themoviedb.org/t/p/w235_and_h235_face/cQoPC18cHBN1zYTbOy5hbpjZ5ls.jpg,"Stranger Things, Enola Holmes y Godzilla: Rey de los Monstruos"
Cillian Murphy,https://media.themoviedb.org/t/p/w235_and_h235_face/2lKs67r7FI4bPu0AXxMUJZxmUXn.jpg,"Peaky Blinders, Oppenheimer y 28 días después"
Theo James,https://media.themoviedb.org/t/p/w235_and_h235_face/lSC4cMhcQeCjPFkK6qCjSGDSeR3.jpg,"Divergente, La serie Divergente: Insurgente y La serie Divergente: Leal"
Nicolas Cage,https://media.themoviedb.org/t/p/w235_and_h235_face/ar33qcWbEgREn07ZpXv5Pbj8hbM.jpg,"Los Croods, La búsqueda (National Treasure) y Ghost Rider: El motorista fantasma"
Kaya Scodelario,https://media.themoviedb.org/t/p/w235_and_h235_face/eznQzv0KEssa0TdPjgmdeLP6WvS.jpg,"El corredor del laberinto, El corredor del laberinto: La cura mortal y El corredor del laberinto: Las pruebas"
Timothée Chalamet,https://media.themoviedb.org/t/p/w235_and_h235_face/BE2sdjpgsa2rNTFa66f7upkaOP.jpg,"Call Me by Your Name, Dune y The King"
Jodie Foster,https://media.themoviedb.org/t/p/w235_and_h235_face/resiaRfWvj4N84TgJi9DPOafCpq.jpg,"El silencio de los corderos, Taxi Driver y La habitación del pánico"
Jenna Ortega,https://media.themoviedb.org/t/p/w235_and_h235_face/q1NRzyZQlYkxLY07GO9NVPkQnu8.jpg,"Miércoles, Scream y Scream VI"
John Cena,https://media.themoviedb.org/t/p/w235_and_h235_face/rgB2eIOt7WyQjdgJCOuESdDlrjg.jpg,"Bumblebee, Ferdinand y El escuadrón suicida"
Ana de Armas,https://media.themoviedb.org/t/p/w235_and_h235_face/3vxvsmYLTf4jnr163SUlBIw51ee.jpg,"Puñales por la espalda, Blade Runner 2049 y Juego de armas"
